file,namespace,types,base_types,method_count,field_count,using_count,top_refs
AITriangleData.cs,(global),class AITriangleData,MonoBehaviour,16,23,2,Token:46 | RID:46 | Pos:24 | NavEdge:21 | NavPoint:18 | RVA:17 | File:17 | Offset:17
AIVoxelesData.cs,(global),class AIVoxelesData | class Class148,MonoBehaviour,9,12,4,Token:25 | RID:25 | NavGraphVoxelSimple:15 | RVA:9 | File:9 | Offset:9 | MaxVoxelesValues:8 | VoxelsList:8
AlarmRotateLight.cs,(global),class AlarmRotateLight,MonoBehaviour,1,1,1,Token:3 | RID:3 | System:1 | UnityEngine:1 | ExecuteInEditMode:1 | AlarmRotateLight:1 | MonoBehaviour:1 | RVA:1
AlreadyTransitDataClass.cs,(global),class AlreadyTransitDataClass,,1,8,3,Token:11 | RID:11 | System:2 | Collections:1 | Generic:1 | EFT:1 | JsonType:1 | AlreadyTransitDataClass:1
AlwaysUp.cs,(global),class AlwaysUp,MonoBehaviour,1,0,1,Token:2 | RID:2 | System:1 | UnityEngine:1 | AlwaysUp:1 | MonoBehaviour:1 | RVA:1 | File:1
AmbientHighlight.cs,(global),class AmbientHighlight | struct AmbientDirectionalLight | enum StencilType | class HighlightSettings,OnRenderObjectConnector,6,23,2,Token:36 | RID:36 | AmbientHighlight:22 | Shader:12 | PropertyToID:12 | RVA:6 | File:6 | Offset:6
AmbientLight.cs,(global),class AmbientLight | class Class619 | class CullingSettings,OnRenderObjectConnector | IDisposable,44,61,5,Token:117 | RID:117 | AmbientLight:100 | RVA:48 | File:48 | Offset:48 | Vector3:40 | Shader:29
AmbientType.cs,(global),enum AmbientType,,0,0,0,Token:3 | RID:3 | System:1 | AmbientType:1 | Default:1 | NightVision:1
AmmoItemClass.cs,(global),class AmmoItemClass,StackableItemItemClass,3,3,6,Token:105 | RID:105 | RVA:53 | File:53 | Offset:53 | AmmoTemplate:49 | GetTemplate:44 | GInterface433:6
AmmoPackReloadingClass.cs,(global),class AmmoPackReloadingClass,,6,1,3,Gclass826_0:19 | Token:11 | RID:11 | Size:9 | RVA:8 | File:8 | Offset:8 | AmmoItemClass:8
AmplifyImpostors/AmplifyImpostor.cs,AmplifyImpostors,class AmplifyImpostor,MonoBehaviour,14,71,4,Token:98 | RID:98 | Shader:30 | PropertyToID:29 | Vector3:28 | RVA:22 | File:22 | Offset:22
AmplifyImpostors/AmplifyImpostorAsset.cs,AmplifyImpostors,class AmplifyImpostorAsset,ScriptableObject,0,17,2,Token:18 | RID:18 | SerializeField:17 | Vector2:12 | Range:6 | HideInInspector:4 | ImpostorType:3 | System:2
AmplifyImpostors/AmplifyImpostorBakePreset.cs,AmplifyImpostors,class AmplifyImpostorBakePreset,ScriptableObject,0,5,2,Token:6 | RID:6 | SerializeField:5 | System:2 | Shader:2 | List:2 | TextureOutput:2 | Collections:1
AmplifyImpostors/CutMode.cs,AmplifyImpostors,enum CutMode,,0,0,0,Token:3 | RID:3 | System:1 | AmplifyImpostors:1 | CutMode:1 | Automatic:1 | Manual:1
AmplifyImpostors/DeferredBuffers.cs,AmplifyImpostors,enum DeferredBuffers,,0,0,0,Token:5 | RID:5 | System:1 | AmplifyImpostors:1 | Flags:1 | DeferredBuffers:1 | AlbedoAlpha:1 | SpecularSmoothness:1
AmplifyImpostors/FolderMode.cs,AmplifyImpostors,enum FolderMode,,0,0,0,Token:3 | RID:3 | System:1 | AmplifyImpostors:1 | FolderMode:1 | RelativeToPrefab:1 | Global:1
AmplifyImpostors/ImageFormat.cs,AmplifyImpostors,enum ImageFormat,,0,0,0,Token:4 | RID:4 | System:1 | AmplifyImpostors:1 | ImageFormat:1 | PNG:1 | TGA:1 | EXR:1
AmplifyImpostors/ImpostorType.cs,AmplifyImpostors,enum ImpostorType,,0,0,0,Token:4 | RID:4 | System:1 | AmplifyImpostors:1 | ImpostorType:1 | Spherical:1 | Octahedron:1 | HemiOctahedron:1
AmplifyImpostors/LODReplacement.cs,AmplifyImpostors,enum LODReplacement,,0,0,0,Token:8 | RID:8 | System:1 | AmplifyImpostors:1 | LODReplacement:1 | DoNothing:1 | ReplaceCulled:1 | ReplaceLast:1
AmplifyImpostors/OverrideMask.cs,AmplifyImpostors,enum OverrideMask,,0,0,0,Token:7 | RID:7 | System:1 | AmplifyImpostors:1 | Flags:1 | OverrideMask:1 | OutputToggle:1 | NameSuffix:1
AmplifyImpostors/PresetPipeline.cs,AmplifyImpostors,enum PresetPipeline,,0,0,0,Token:4 | RID:4 | System:1 | AmplifyImpostors:1 | PresetPipeline:1 | Legacy:1 | Lightweight:1 | HighDefinition:1
AmplifyImpostors/RenderingMaps.cs,AmplifyImpostors,enum RenderingMaps,,0,0,0,Token:3 | RID:3 | System:1 | AmplifyImpostors:1 | RenderingMaps:1 | Standard:1 | Custom:1
AmplifyImpostors/RenderPipelineInUse.cs,AmplifyImpostors,enum RenderPipelineInUse,,0,0,0,Token:6 | RID:6 | System:1 | AmplifyImpostors:1 | RenderPipelineInUse:1 | None:1 | LW:1 | HD:1
AmplifyImpostors/TextureChannels.cs,AmplifyImpostors,enum TextureChannels,,0,0,0,Token:3 | RID:3 | System:1 | AmplifyImpostors:1 | TextureChannels:1 | RGBA:1 | RGB:1
AmplifyImpostors/TextureCompression.cs,AmplifyImpostors,enum TextureCompression,,0,0,0,Token:5 | RID:5 | System:1 | AmplifyImpostors:1 | TextureCompression:1 | None:1 | Normal:1 | High:1
AmplifyImpostors/TextureOutput.cs,AmplifyImpostors,class TextureOutput,,1,9,1,Token:13 | RID:13 | TextureOutput:5 | ImageFormat:5 | RVA:3 | File:3 | Offset:3 | TextureScale:3
AmplifyImpostors/TextureScale.cs,AmplifyImpostors,enum TextureScale,,0,0,0,Token:5 | RID:5 | System:1 | AmplifyImpostors:1 | TextureScale:1 | Full:1 | Half:1 | Quarter:1
AmplifyImpostors/VersionInfo.cs,AmplifyImpostors,class VersionInfo,,1,4,0,Token:10 | RID:10 | VersionInfo:5 | Revision:4 | RVA:3 | File:3 | Offset:3 | ToString:2
AmplifyMotion/MotionState.cs,AmplifyMotion,class MotionState | struct Struct1313 | struct Struct1314,,13,23,3,Token:48 | RID:48 | MotionState:19 | RVA:18 | File:18 | Offset:18 | Vector4:14 | Struct1314:13
AmplifyMotion/ObjectType.cs,AmplifyMotion,enum ObjectType,,0,0,0,Token:6 | RID:6 | System:1 | AmplifyMotion:1 | ObjectType:1 | None:1 | Solid:1 | Skinned:1
AmplifyMotion/Quality.cs,AmplifyMotion,enum Quality,,0,0,0,Token:5 | RID:5 | System:1 | AmplifyMotion:1 | Quality:1 | Mobile:1 | Standard:1 | Standard_SM3:1
AmplifyMotion/VersionInfo.cs,AmplifyMotion,class VersionInfo,,4,8,1,Token:17 | RID:17 | VersionInfo:10 | RVA:7 | File:7 | Offset:7 | StageSuffix:3 | TrialSuffix:3
AmplifyMotionCamera.cs,(global),class AmplifyMotionCamera,MonoBehaviour,21,20,4,Token:50 | RID:50 | RVA:25 | File:25 | Offset:25 | Instance:11 | Matrix4x4:9 | AmplifyMotionEffectBase:7
AmplifyMotionEffect.cs,(global),class AmplifyMotionEffect,AmplifyMotionEffectBase,0,0,1,Token:5 | RID:5 | AmplifyMotionEffect:5 | AmplifyMotionEffectBase:3 | RVA:2 | File:2 | Offset:2 | FirstInstance:2
AmplifyMotionEffectBase.cs,(global),class AmplifyMotionEffectBase,MonoBehaviour,54,52,7,Token:143 | RID:143 | RVA:71 | File:71 | Offset:71 | AmplifyMotionEffectBase:42 | RenderTexture:29 | Camera:27
AmplifyMotionObject.cs,(global),class AmplifyMotionObject,AmplifyMotionObjectBase,0,0,1,System:1 | UnityEngine:1 | Token:1 | RID:1 | AddComponentMenu:1 | Image:1 | Effects:1 | Amplify:1
AmplifyMotionObjectBase.cs,(global),class AmplifyMotionObjectBase | enum MinMaxCurveState,MonoBehaviour,14,7,4,Token:34 | RID:34 | RVA:17 | File:17 | Offset:17 | ObjectType:12 | Camera:9 | AmplifyMotionEffectBase:9
AmplifyMotionPostProcess.cs,(global),class AmplifyMotionPostProcess,MonoBehaviour,1,1,1,Token:6 | RID:6 | RVA:3 | File:3 | Offset:3 | AmplifyMotionEffectBase:2 | RenderTexture:2 | System:1
AM_Rock_Moss_Material.cs,(global),class AM_Rock_Moss_Material,ScriptableObject | GInterface41 | GInterface42 | GInterface44 | GInterface46,1,3,1,Token:7 | RID:7 | AM_Rock_Moss_Material:7 | Logger:5 | Material:5 | Texture:5 | RVA:2 | File:2
AnalyticSource.cs,(global),class AnalyticSource,MonoBehaviour,5,30,1,Token:38 | RID:38 | MaterialPropertyBlock:14 | AnalyticSource:10 | Shader:9 | PropertyToID:9 | RVA:6 | File:6
AnimationAuthority.cs,(global),class AnimationAuthority,Authority,1,0,1,Token:2 | RID:2 | OnStateEnter:2 | System:1 | UnityEngine:1 | AnimationAuthority:1 | Authority:1 | RVA:1
AnimationEventSystem/AnimationEvent.cs,AnimationEventSystem,class AnimationEvent,ICloneable,8,7,4,Token:25 | RID:25 | EventConditions:21 | RVA:14 | File:14 | Offset:14 | Parameter:9 | Enabled:8
